date,pm25,pm10,no2,so2,o3,co,station,lat,lon,split,t2m,blh,u10,v10,sp,tp,msdwswrf,rh,wind_speed,vi
2023-11-20,89.375,243.87847222222217,2.897916666666667,22.798263888888886,55.76875,0.6978472222222223,city center gwalior India,26.2037247,78.1573628,train,294.3137666,372.4287642,-1.066541379,-1.306813316,99072.79803,0.0,175.9864517,70.12597101,1.6867932760104711,628.2103352454493
2023-11-21,107.13541666666669,238.86458333333331,2.8250000000000006,23.48611111111111,38.09375,0.7186805555555557,city center gwalior India,26.2037247,78.1573628,train,293.9135858,372.8693581,1.296605084,-1.018879725,98933.79685,0.0,187.2351345,68.9827526,1.6490302113274709,614.8728363851814
2023-11-22,159.23958333333334,235.8125,33.84270833333333,27.11701388888889,38.10625,0.8300347222222223,city center gwalior India,26.2037247,78.1573628,train,292.8977619,352.4376968,0.51694952,-0.56090333,98820.14874,0.0,187.5951646,66.50656491,0.7627905032401225,268.8361281028617
2023-11-23,209.15625,256.3731884057971,47.333333333333336,25.538194444444443,41.575,1.1110069444444444,city center gwalior India,26.2037247,78.1573628,train,291.9879804,333.5498462,-1.324027794,0.475800188,98775.46727,0.0,188.747384,68.23868027,1.4069240982317923,469.279316580288
2023-11-24,175.01041666666666,249.46180555555557,47.44548611111111,22.72881944444444,69.04375,1.689656862745098,city center gwalior India,26.2037247,78.1573628,train,292.3534681,286.0103104,-0.953753453,-0.227270624,98973.11154,0.0,187.9197689,65.35411247,0.9804578449085778,280.4210525564173
2023-11-25,139.17708333333334,215.81597222222223,47.51006944444445,26.04375,81.759375,1.8001041666666664,city center gwalior India,26.2037247,78.1573628,train,291.8775821,297.9507303,-1.110781285,0.386049075,99090.13466,0.0,186.2994133,70.54224104,1.1759544852648878,350.37649768423387
2023-11-26,112.14583333333331,180.69791666666663,46.85868055555556,26.09583333333333,76.4,1.2474305555555556,city center gwalior India,26.2037247,78.1573628,train,292.7128131,367.205,-1.648972194,0.910938097,99054.61957,0.0,158.7055406,68.26541714,1.883857084056844,691.7617405510933
2023-11-27,72.75,94.05902777777776,27.76875,21.862847222222214,75.61875,0.665625,city center gwalior India,26.2037247,78.1573628,train,292.1305966,241.6491061,-1.116207208,1.312714872,98864.26232,0.001426197,87.56921731,77.95866003,1.7231189356400014,416.39015050138977
2023-11-28,103.51041666666669,163.95486111111111,50.14270833333334,13.676388888888887,31.459375,1.4389583333333331,city center gwalior India,26.2037247,78.1573628,train,292.213061,354.1152344,-1.751511615,0.301465319,98790.0722,0.000236325,137.1961568,78.85323889,1.7772659553481804,629.3569503692609
2023-11-29,108.5625,235.375,31.950347222222224,12.014236111111112,51.528125,0.8674561403508771,city center gwalior India,26.2037247,78.1573628,train,293.5210523,322.082305,-1.328068436,0.158113383,98855.63023,0.000961585,149.9410283,79.8761976,1.337447424231394,430.7681492127603
2023-11-30,51.708333333333336,136.71180555555554,17.602777777777778,18.10486111111111,39.646875,1.3266287878787877,city center gwalior India,26.2037247,78.1573628,train,292.7769842,267.7152139,-1.633687645,0.393321446,98947.16011,0.002229698,121.501514,93.16515185,1.6803681386259313,449.860115662986
2023-02-12,,,,,,,city center gwalior India,26.2037247,78.1573628,train,293.651268,265.9281769,-1.188687585,-1.293252688,99045.48102,0.000388949,126.0588226,85.84376725,1.756553639873362,467.1171070785823
2023-03-12,,,,,,,city center gwalior India,26.2037247,78.1573628,train,292.8430429,340.0999273,-0.841938813,-1.824496599,99019.77546,0.015741602,112.8709321,85.89202749,2.009390157385672,683.3934464442025
2023-04-12,,,,,,,city center gwalior India,26.2037247,78.1573628,train,290.8824188,223.3777256,-1.210380411,-1.228745615,98941.66542,0.011626474,63.61921133,96.19145031,1.724771441587046,385.2755218015476
2023-05-12,,,,,,,city center gwalior India,26.2037247,78.1573628,train,291.6830792,262.6015082,-0.032952365,-1.632520689,98894.18776,3.02e-06,145.8591484,86.79226168,1.632853226218489,428.789719874211
2023-06-12,,,,,,,city center gwalior India,26.2037247,78.1573628,train,292.059937,279.343894,-0.451430358,-1.656326537,98957.05669,0.0,154.2352421,77.46121592,1.7167431273473677,479.56171019095154
2023-07-12,,,,,,,city center gwalior India,26.2037247,78.1573628,train,292.1745722,239.6843043,-0.014828437,-1.423238111,98879.6819,1.73e-05,146.3365708,79.42485884,1.4233153561831304,341.1463509462603
2023-08-12,,,,,,,city center gwalior India,26.2037247,78.1573628,train,292.3783845,216.7265353,0.658746601,-0.645698174,98903.72843,3.16e-05,150.9213467,79.17015989,0.922427892160676,199.9146011320653
